Abilene,TX,10180,Abilene,TX,30136
Aguadilla-Isabela,PR,10380,Aguadilla,PR,30732
Albany,GA,10500,Albany,GA,30146
Albany-Schenectady-Troy,NY,10580,Albany,NY,30257
Albuquerque,NM,10740,Albuquerque,NM,30140
Alexandria,LA,10780,Alexandria,LA,30185
Allentown-Bethlehem-Easton,PA-NJ,10900,Allentown-Bethlehem-Easton,PA,30135
Altoona,PA,11020,Altoona,PA,30322
Amarillo,TX,11100,Amarillo,TX,30279
Anchorage,AK,11260,Anchorage,AK,30299
Appleton,WI,11540,Appleton,WI,30408
Asheville,NC,11700,Asheville,NC,30431
Athens-Clarke County,GA,12020,Athens,GA,30216
Atlanta-Sandy Springs-Roswell,GA,12060,Atlanta,GA (Metropolitan Area),30397
Atlantic City-Hammonton,NJ,12100,Atlantic City,NJ,30158
Augusta-Richmond County,GA-SC,12260,Augusta,GA,30208
Austin-Round Rock,TX,12420,Austin,TX,30423
Bakersfield,CA,12540,Bakersfield,CA,30561
Bangor,ME NECTA,70750,Bangor,ME,30581
Baton Rouge,LA,12940,Baton Rouge,LA,30781
Bay City,MI,13020,Saginaw-Bay City-Midland,MI,33184
Beaumont-Port Arthur,TX,13140,Beaumont-Port Arthur,TX,30728
Beckley,WV,13220,Beckley,WV,30654
Bellingham,WA,13380,Bellingham,WA,30666
Bend-Redmond,OR,13460,Bend-Redmond,OR,34489
Billings,MT,13740,Billings,MT,30620
Binghamton,NY,13780,Binghamton,NY,30577
Birmingham-Hoover,AL,13820,Birmingham,AL,30599
Bismarck,ND,13900,Bismarck-Mandan,ND,30627
Bloomington,IL,14010,Bloomington-Normal,IL,30685
Boise City,ID,14260,Boise,ID,30713
Brownsville-Harlingen,TX,15180,Brownsville,TX,30747
Brunswick,GA,15260,Brunswick,GA,30731
Buffalo-Cheektowaga-Niagara Falls,NY,15380,Buffalo,NY,30792
Buffalo-Cheektowaga-Niagara Falls,NY,15380,Niagara Falls,NY,32265
Burlington-South Burlington,VT NECTA,72400,Burlington,VT,30785
Cape Coral-Fort Myers,FL,15980,Fort Myers,FL,31714
Cape Girardeau,MO-IL,16020,Cape Girardeau,MO,30967
Casper,WY,16220,Casper,WY,31122
Cedar Rapids,IA,16300,Cedar Rapids-Iowa City,IA,31003
Champaign-Urbana,IL,16580,Champaign-Urbana,IL,31067
Charleston,WV,16620,Charleston-Dunbar,WV,31146
Charleston-North Charleston,SC,16700,Charleston,SC,30994
Charlotte-Concord-Gastonia,NC-SC,16740,Charlotte,NC,31057
Charlottesville,VA,16820,Charlottesville,VA,30990
Chattanooga,TN-GA,16860,Chattanooga,TN,30980
Cheyenne,WY,16940,Cheyenne,WY,31233
Chicago-Naperville-Arlington Heights,IL Metropolitan Division,16974,Chicago,IL,30977
Chicago-Naperville-Elgin,IL-IN-WI,16980,Chicago,IL,30977
Chico,CA,17020,Chico,CA,31002
Cincinnati,OH-KY-IN,17140,Cincinnati,OH,33105
Cleveland-Elyria,OH,17460,Cleveland,OH (Metropolitan Area),30647
College Station-Bryan,TX,17780,College Station-Bryan,TX,31049
Colorado Springs,CO,17820,Colorado Springs,CO,30189
Columbia,SC,17900,Columbia,SC,30868
Columbia,MO,17860,Jefferson City-Columbia,MO,32474
Columbus,GA-AL,17980,Columbus,GA,31150
Columbus,OH,18140,Columbus,OH,31066
Corpus Christi,TX,18580,Corpus Christi,TX,31140
