Name of the city,|1993_Q1 num of people|,|1993_Q1 total price|,|1993_Q2 num of people|,|1993_Q2 total price|,|1993_Q3 num of people|,|1993_Q3 total price|,|1993_Q4 num of people|,|1993_Q4 total price|,|2015_Q1 num of people|,|2015_Q1 total price|,|2015_Q2 num of people|,|2015_Q2 total price|,|2015_Q3 num of people|,|2015_Q3 total price|,|2015_Q4 num of people|,|2015_Q4 total price|,
Prince George, Canada: Prince George Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
San Carlos, CA: San Carlos Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Yogyakarta, Indonesia: Adisutjipto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kos, Greece: Kos Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Saarbrucken, Germany: Saarbrucken Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brockport, NY: Ledgedale Airpark,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tehran, Iran: Mehrabad International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Houston, TX: Ellington,905.0,127832.50000000001,1103.0,148140.76999999996,1056.0,155766.94,1005.0,144673.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steamboat Springs, CO: Steamboat Springs/Bob Adams Field,1802.0,196511.39000000007,705.0,103778.79999999996,839.0,130394.72999999995,910.0,130721.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Collarenebri, Australia: Collarenebri Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sullivan Bay, Canada: Sullivan Bay Water Aerodrome,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charleston, SC: Charleston AFB/International,10733.0,1441408.7400000005,14896.0,1894044.8300000005,13978.0,1764356.1999999988,15740.0,1814472.2800000003,30655.0,5424387.439999999,42432.0,7765118.389999994,41450.0,6850354.680000001,40322.0,6680693.909999998,
Gualaco, Honduras: Jicalapa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pantnagar, India: Pantnagar Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pleasant Harbour, AK: Pleasant Harbour Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pemba, Mozambique: Pemba Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Santa Clara, Cuba: Abel Santamaria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Merced, CA: Merced Regional/Macready Field,36.0,9871.329999999998,172.0,34982.240000000005,50.0,10779.310000000003,56.0,13545.12,11.0,2410.33,16.0,5559.01,3.0,1386.0,N/A,N/A,
Fort Chipewyan, Canada: Fort Chipewyan Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cape Town, South Africa: Cape Town International,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Duncan, OK: Halliburton Field,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Catania, Italy: Catania-Fontanarossa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Hachijo Jima Island, Japan: Hachijo Jima Island Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jolo, Philippines: Jolo Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tucson, AZ: Marana Regional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andakombe, Papua New Guinea: Andakombe Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pilot Point, AK: Ugashik Bay,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Faro, Canada: Faro Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Waterbury, CT: Waterbury Oxford,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Half Moon Bay, CA: Half Moon Bay Airport,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lompoc, CA: Vandenberg AFB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
